repo,rama_por_defecto,ultimo_commit,dias_sin_commits,commits_30d,commits_90d,commits_365d,autores_distintos,commits_muestreados,ficheros_en_HEAD,tiene_LICENSE,workflows_CI,ficheros_test,tiene_SECURITY_md
54yyyu/zotero-mcp,main,2026-08-24,0,177,290,493,65,493,407,1,2,163,0
AgentDeskAI/browser-tools-mcp,main,2026-08-12,12,23,23,24,8,103,77,1,1,28,1
AgentOps-AI/agentops,main,2026-06-25,61,0,1,19,18,100,1531,1,9,180,0
Aider-AI/aider,main,2026-05-22,95,0,0,133,26,233,691,1,10,87,0
All-Hands-AI/OpenHands,main,2026-08-25,0,100,100,100,37,100,2153,1,20,631,0
Arize-ai/phoenix,main,2026-08-24,0,100,100,100,20,100,7255,1,45,1004,1
Azure/PyRIT,main,2026-03-24,153,0,0,7,2,7,9,1,1,0,1
BAI-LAB/MemoryOS,main,2026-07-07,49,0,2,28,9,134,73,1,0,0,0
BerriAI/litellm,litellm_internal_staging,2026-08-25,0,2930,5029,8319,251,8319,9772,2,46,3180,1
BloopAI/vibe-kanban,main,2026-04-24,123,0,0,100,14,100,2203,1,9,4,0
BoundaryML/baml,canary,2026-08-25,0,100,100,100,13,100,11009,1,48,1085,0
BurntSushi/ripgrep,master,2026-08-04,21,7,76,100,31,100,237,2,2,29,0
ChromeDevTools/chrome-devtools-mcp,main,2026-08-25,0,100,100,100,22,100,292,1,8,103,1
DavidZWZ/Awesome-Deep-Research,main,2026-07-22,33,0,18,32,16,108,4,1,0,0,0
Doriandarko/claude-engineer,main,2024-12-12,620,0,0,0,1,144,33,0,0,0,0
EleutherAI/lm-evaluation-harness,main,2026-08-24,0,41,55,100,58,100,16281,1,3,774,0
GLips/Figma-Context-MCP,main,2026-06-24,61,0,28,121,15,122,105,1,2,19,1
HKUDS/LightRAG,main,2026-08-25,0,722,1352,1352,48,1352,1054,1,9,544,1
HKUDS/RAG-Anything,main,2026-08-20,5,12,32,286,53,301,96,1,3,30,1
Helicone/helicone,main,2026-07-21,35,0,2,100,8,100,4822,1,15,136,0
Kilo-Org/kilocode,main,2026-08-25,0,2073,5811,8253,202,8253,9646,1,44,1875,1
LearningCircuit/local-deep-research,main,2026-08-25,0,100,100,100,10,100,3334,1,66,2132,1
Maciek-roboblog/Claude-Code-Usage-Monitor,main,2026-06-27,59,0,34,34,8,170,108,1,4,39,0
MemTensor/MemOS,main,2026-08-24,1,84,262,1324,96,1324,1995,1,12,432,0
Mirix-AI/MIRIX,main,2026-08-20,5,2,12,313,17,369,498,1,1,54,0
NVIDIA/NeMo-Guardrails,develop,2026-08-24,0,56,100,100,10,100,2066,2,30,730,1
NVIDIA/garak,main,2026-08-21,4,76,309,1817,120,2910,869,1,14,219,1
