repo,rama_por_defecto,ultimo_commit,dias_sin_commits,commits_30d,commits_90d,commits_365d,autores_distintos,commits_muestreados,ficheros_en_HEAD,tiene_LICENSE,workflows_CI,ficheros_test,tiene_SECURITY_md
1Axen/Blink,main,2026-04-11,135,0,0,48,12,110,129,1,2,13,0
Chrrxs/roblox-mcp-primitives,main,2026-05-18,98,0,0,1,1,1,9,1,0,0,0
Chrrxs/robloxstudio-mcp,main,2026-08-25,0,31,83,101,8,101,156,1,0,57,1
EpicGames/UnrealEngine,,CLONE_FAILED,,,,,,,,,,,
EternalVortexStudios/UEFN-Toolbelt,,CLONE_FAILED,,,,,,,,,,,
JohnnyMorganz/StyLua,main,2026-05-16,101,0,0,83,13,100,939,1,9,851,0
JohnnyMorganz/luau-lsp,main,2026-08-25,0,16,51,100,14,100,306,1,9,52,0
Kampfkarren/full-moon,main,2026-04-15,132,0,0,6,19,100,1347,1,2,1296,0
Kampfkarren/selene,main,2026-05-20,96,0,0,7,38,100,438,1,6,273,0
MadStudioRoblox/ProfileService,master,2024-10-13,681,0,0,0,3,109,21,1,1,0,0
MadStudioRoblox/ProfileStore,main,2025-07-31,390,0,0,0,4,32,19,1,1,0,0
Rathoz/verse-docs,,CLONE_FAILED,,,,,,,,,,,
Roblox/creator-docs,main,2026-08-25,0,49,100,100,11,100,9295,2,3,0,0
Roblox/luau-unofficial-spec,,CLONE_FAILED,,,,,,,,,,,
Roblox/place-ci-cd-demo,production,2024-09-17,706,0,0,0,2,10,17,1,1,0,0
Roblox/rbx-open-cloud,,CLONE_FAILED,,,,,,,,,,,
Roblox/rbxcloud,,CLONE_FAILED,,,,,,,,,,,
Roblox/studio-rust-mcp-server,main,2026-04-03,144,0,0,25,5,30,47,1,3,0,0
Roblox/testez,master,2023-01-30,1302,0,0,0,25,187,105,1,4,41,0
Sleitnick/Knit,main,2024-07-31,755,0,0,0,29,371,62,1,3,3,0
Sleitnick/RbxUtil,main,2026-07-27,28,1,1,21,28,301,157,1,3,2,0
Sleitnick/rbxcloud,main,2025-03-23,520,0,0,0,6,197,82,1,3,0,0
UpliftGames/moonwave,master,2026-06-02,84,0,8,16,17,101,198,1,2,53,0
UpliftGames/wally,main,2025-04-14,497,0,0,0,20,100,267,1,5,22,1
VerseMetaVerse/UnrealVerse,main,2025-04-07,504,0,0,0,1,100,3,1,0,0,0
ast-grep/ast-grep,main,2026-08-24,1,49,100,100,7,100,317,1,6,23,0
bandithedoge/tree-sitter-luau,,CLONE_FAILED,,,,,,,,,,,
basicmachines-co/basic-memory,main,2026-08-25,0,100,100,100,8,100,1377,1,11,412,1
bearcove/codanna,,CLONE_FAILED,,,,,,,,,,,
boostvolt/claude-code-lsps,main,2026-05-28,89,0,1,21,5,21,96,1,0,0,0
boshyxd/robloxstudio-mcp,main,2026-06-06,80,0,1,165,11,211,69,1,0,6,0
chrisbbreuer/verse-vscode,,CLONE_FAILED,,,,,,,,,,,
cronofear-dev/VerseReferenceExplorer,main,2023-05-13,1200,0,0,0,2,9,21,1,0,0,0
doobidoo/mcp-memory-service,main,2026-08-25,0,174,320,320,13,320,1257,1,1,306,1
dphfox/Fusion,main,2026-02-01,204,0,0,5,20,104,338,1,2,49,0
dphfox/tiniest,main,2025-07-06,415,0,0,0,4,42,19,1,0,5,0
evaera/roblox-lua-promise,master,2023-10-15,1044,0,0,0,12,160,24,1,0,0,0
filiptibell/lune,main,2026-07-03,52,0,31,62,10,100,494,1,2,205,0
filiptibell/rokit,main,2026-05-09,108,0,0,17,13,105,88,1,2,0,0
getzep/graphiti,main,2026-08-20,4,39,100,100,23,100,359,1,12,72,1
github/stack-graphs,main,2025-09-09,349,0,0,2,21,701,712,2,9,559,1
grilme99/tarmac,,CLONE_FAILED,,,,,,,,,,,
h3dchibale/uefn-verse-mcp,,CLONE_FAILED,,,,,,,,,,,
jackdotink/bytenet,,CLONE_FAILED,,,,,,,,,,,
jsdotlua/jest-lua,main,2024-12-23,609,0,0,0,5,113,665,1,3,203,0
jsdotlua/react-lua,main,2024-12-04,628,0,0,0,11,156,479,1,3,112,0
l3dotdev/EzSpec,main,2021-11-21,1738,0,0,0,1,14,25,1,0,4,0
littensy/charm,main,2026-06-21,64,0,6,6,8,100,97,1,2,31,0
littensy/reflex,master,2025-12-20,247,0,0,1,5,103,136,1,4,23,0
lrockreal/testez-luau,master,2023-01-30,1302,0,0,0,25,187,105,1,4,41,0
luau-lang/luau,master,2026-08-21,3,17,46,152,37,161,1101,1,4,464,1
luau-lang/lute,primary,2026-08-24,1,36,100,100,14,100,1176,1,7,750,0
luau-lang/rfcs,master,2026-08-03,22,1,4,17,32,100,96,0,1,0,0
lune-org/lune,main,2026-07-03,52,0,31,62,10,100,494,1,2,205,0
matter-ecs/matter,main,2024-11-24,638,0,0,0,14,101,126,1,3,1,0
oraios/serena,main,2026-08-20,5,116,333,423,52,423,1051,1,8,704,0
osyrisrblx/t,master,2025-03-11,531,0,0,0,17,226,22,1,1,0,0
pesde-pkg/pesde,main,2026-08-07,18,7,15,116,9,190,201,1,3,0,1
polychromatic/tree-sitter-luau,,CLONE_FAILED,,,,,,,,,,,
